Entity,Code,Year,"Average effective age of retirement, women (OECD)","Average effective age of retirement, men (OECD)"
Argentina,ARG,1982,70.9,66.6
Argentina,ARG,1983,67.3,66.4
Argentina,ARG,1984,67.9,66.2
Argentina,ARG,1985,68,65.8
Argentina,ARG,1986,68.4,66.6
Argentina,ARG,1987,68.8,67.3
Argentina,ARG,1988,70.6,67.7
Argentina,ARG,1989,70.7,67.5
Argentina,ARG,1990,68.2,67.3
Argentina,ARG,1991,68.7,68.3
Argentina,ARG,1992,69.6,69.6
Argentina,ARG,1993,69.2,68.4
Argentina,ARG,1994,68.9,67.1
Argentina,ARG,1995,67.5,67.3
Argentina,ARG,1996,66.9,68.1
Argentina,ARG,1997,67.90000153,68.69999695
Argentina,ARG,1998,69,69.19999695
Argentina,ARG,1999,70.3,69.6
Argentina,ARG,2000,71.6,70.1
Argentina,ARG,2001,69.7,70.1
Argentina,ARG,2002,68.3,70.2
Argentina,ARG,2003,67.3,70.3
Argentina,ARG,2004,67,69.4
Argentina,ARG,2005,65.9,68.6
Argentina,ARG,2006,66,69
Argentina,ARG,2007,63.8,68.8
Argentina,ARG,2008,63.4,69.6
Argentina,ARG,2009,64,67.9
Argentina,ARG,2010,64.8,68.2
Argentina,ARG,2011,65,68.7
Argentina,ARG,2012,65.9,68.7
Argentina,ARG,2013,64.8,67.5
Argentina,ARG,2014,64.1,67.1
Argentina,ARG,2015,63.9,67.1
Argentina,ARG,2016,63.2,67.3
Argentina,ARG,2017,63.70000076,66.5
Argentina,ARG,2018,64.30000305,66.59999847
Australia,AUS,1970,65.2,67.4
Australia,AUS,1971,64.9,67.1
Australia,AUS,1972,64.4,67.2
Australia,AUS,1973,63.6,66.1
Australia,AUS,1974,63.5,66.1
Australia,AUS,1975,61.7,65.7
Australia,AUS,1976,62.6,65.5
Australia,AUS,1977,60.9,65.6
Australia,AUS,1978,60.3,65.2
Australia,AUS,1979,60.2,64.5
Australia,AUS,1980,60,64.1
Australia,AUS,1981,59.5,63.6
Australia,AUS,1982,59.5,63.3
Australia,AUS,1983,58.7,63.4
Australia,AUS,1984,58.7,62.9
Australia,AUS,1985,58.9,62.5
Australia,AUS,1986,59.3,62.8
Australia,AUS,1987,59,62.3
Australia,AUS,1988,60.1,61.6
Australia,AUS,1989,60,62.1
Australia,AUS,1990,60.4,62.5
Australia,AUS,1991,60,62.3
